College Name,Avg Sentiment,Avg Rating,Review Count
NIT Trichy,0.61955,9.0,4
National Fire Service College - [NFSC],0.83755,9.0,2
Vikrant University,0.8591,9.0,1
Malla Reddy College of Engineering - [MRCE],0.86385,9.0,2
Anantha Lakshmi Institute of Technology and Sciences - [ALITS],0.5853,9.0,1
SG Balekundri Institute of Technology - [SGBIT],0.9661,9.0,1
Manakula Vinayagar Institute of Technology - [MVIT],0.8225,9.0,1
SR Institute Of Management and Technology - [SRIMT],0.94675,9.0,2
Rashtriya Raksha University - [RRU],0.7962,9.0,1
Rajkiya Engineering College - [REC],0.9313,9.0,1
Aditya Engineering College - [AEC],0.91,9.0,1
Keshav Memorial Institute of Technology - [KMIT],0.9843,9.0,1
Bharati Vidyapeeth's College  of Engineering - [BVCOE] Lavale,0.0935,9.0,1
KSR College of Engineering,0.7721,9.0,2
DY Patil College of Engineering and Technology - [DYPCET],0.9595,9.0,1
Dronacharya College of Engineering - [DCE],0.9032,9.0,2
R.N.G. Patel Institute of Technology - [RNGPIT],0.8968,9.0,1
Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management,0.979,9.0,1
Siddhartha Institute of Science & Technology - [SISTK],0.9905,9.0,1
JD College of Engineering and Management,0.9469,9.0,1
Institute of Management Studies - [IMS],0.9509,9.0,1
Dayananda Sagar University - [DSU],0.918,9.0,1
Alliance School of Law,0.9442,9.0,1
Academy of Technology -  [AOT],0.7744500000000001,9.0,2
Sri Ramanujar Engineering College - [SREC],0.97655,9.0,2
Teerthanker Mahaveer University - [TMU],0.9867,9.0,1
PSNA College of Engineering and Technology,0.9463,9.0,2
Pillai College of Engineering - [PCE] Navi Mumbai,0.8823142857142857,8.985714285714286,7
IIT Delhi - Indian Institute of Technology [IITD],0.8459526315789474,8.984210526315788,19
Chennai Institute of Technology - [CIT],0.92492,8.98,5
Anurag University,0.6925399999999999,8.98,5
Sagar Institute of Research and Technology - [SIRT],0.968125,8.975,4
CMR Engineering College - [CMREC],0.7936090909090908,8.972727272727273,11
Indore Institute of Science and Technology - [IIST],0.9297714285714286,8.971428571428572,7
Poornima College of Engineering,0.9388857142857143,8.957142857142857,7
Vivekanand Education Society Institute of Technology - [VESIT],0.90045,8.95,2
Graphic Era University - [GEU],0.71524,8.95,10
Jain University - [JU],0.95845,8.95,2
BMS College of Engineering - [BMSCE],0.8734545454545455,8.936363636363636,11
Tula's Institute,0.8958666666666666,8.933333333333334,3
Toc H Institute of Science and Technology - [TIST],0.831,8.933333333333334,3
The Northcap University - [NCU],0.7064666666666666,8.933333333333334,3
Bennett University,0.946,8.925,4
Raja Balwant Singh Engineering Technical Campus - [FETRBS],0.5931,8.9,2
Siddhartha Institute of Engineering and Technology - [SIET],0.93535,8.9,2
Siddaganga Institute of Technology - [SIT],0.9318200000000001,8.9,5
"University College of Engineering, Mahatma Gandhi University - [UCE]",0.8121499999999999,8.9,2
Maharaja Sayajirao University of Baroda - [MSU],0.4133,8.9,2
Shiv Nadar University - [SNU],0.9598333333333334,8.9,6
KNS Institute of Technology - [KNSIT],0.8849666666666667,8.866666666666667,3
BITS Pilani (Pilani Campus),0.87895,8.8625,8
Vivekananda College of Engineering & Technology - [VCET],0.9178,8.85,2
Vardhaman College of Engineering - [VCE],0.833,8.85,2
IIT Kanpur - Indian Institute of Technology - [IITK],0.94316,8.84,5
IIT Ropar - Indian Institute of Technology - [IITR],0.31066666666666665,8.833333333333334,3
Karpagam College of Engineering - [KCE],0.5687666666666666,8.833333333333334,6
CMR Technical Campus - [CMRTC],0.9457333333333334,8.833333333333334,3
Walchand College of Engineering - [WCE],0.6433,8.833333333333334,3
PBR Visvodaya Institute of Technology and Science [PBR VITS],0.9941,8.8,1
Warner College of Dairy Technology - [WCDT],0.6591,8.8,1
CMR University - [CMRU],0.9774,8.8,1
KIIT School of Biotechnology - [KSBT],0.97145,8.8,2
Shanti Institute of Technology - [SIT],0.7449,8.8,2
Dhanalakshmi Srinivasan College of Engineering and Technology - [DSCET],0.2023,8.8,1
DIT University - [DIT],0.7095857142857144,8.8,7
Bengal Institute of Technology - [BIT],0.9657,8.8,1
Sona College of Technology,0.8967,8.8,1
Lakshmi Narain College of Technology Excellence - [LNCTE],0.9784,8.8,1
Krishna University - [KU],0.7808,8.8,1
Chandubhai S Patel Institute of Technology - [CSPIT],0.9612,8.8,1
Late GN Sapkal College of Engineering,0.8586,8.8,1
Indian Institute of Space Science and Technology - [IIST],0.7783,8.8,1
College of Agricultural Biotechnology,0.92285,8.8,2
MLR Institute of Technology - [MLRIT],0.9422,8.8,1
Aligarh Muslim University - [AMU],0.9863,8.8,1
Visvodaya Engineering College,0.8641,8.8,1
Federal Institute of Science and Technology - [FISAT],0.9768,8.8,1
GS Mandal's Marathwada Institute of Technology - [MIT],0.6808,8.8,1
Indian Institute of Information Technology -[IIIT],0.0,8.8,1
Acropolis Institute of Technology & Research - [AITR],0.794605,8.795,20
ABES Engineering College,0.9329666666666667,8.775,12
Techno India University,0.7891942307692308,8.773076923076923,52
Zakir Hussain College of Engineering and Technology - [ZHCET],0.7988666666666667,8.766666666666667,3
ACE Engineering College - [ACEEC],0.9057,8.766666666666667,3
Malla Reddy Engineering College - [MREC],0.8941666666666667,8.766666666666667,3
National Institute of Technology - [NITK],0.84884,8.76,5
DKTE Society's Textile and Engineering Institute - [DKTE],0.795275,8.75,4
Karunya Institute of Technology and Sciences - [Karunya Deemed University],0.756275,8.75,4
Narsimha Reddy Engineering College - [NRCM],0.98525,8.75,2
Rajiv Gandhi University of Knowledge Technologies -[RGUKT],0.4,8.75,2
Sir M Visvesvaraya Institute of Technology - [Sir MVIT],0.80505,8.75,2
Academy of Maritime Education and Training University - [AMET],0.89215,8.75,2
Sreenivasa Institute of Technology & Management Studies - [SITAMS],0.9342666666666667,8.700000000000001,3
Vishwakarma Government Engineering College - [VGEC],0.5617333333333333,8.700000000000001,3
Sri Sairam Engineering College,0.8655,8.7,1
Thakur College of Engineering and Technology - [TCET],0.8196,8.7,1
Saintgits College of Engineering,0.9337,8.7,1
AP Goyal Shimla University,0.8275,8.7,1
Amrita Vishwa Vidyapeetham Bengaluru Campus,0.96,8.7,1
Meerut Institute of Technology - [MIT],0.9859,8.7,1
A. C. Patil College of Engineering - [ACPCE],0.5418,8.7,1
Dayananda Sagar College of Engineering - [DSCE],0.815,8.7,1
Jaypee University of Engineering and Technology - [JUET],0.3529,8.7,2
Sree Chaitanya Institute of  Technological Sciences,0.6369,8.7,2
Starex University,0.9818,8.7,1
"College of Engineering And Management, Kolaghat",0.9518,8.7,2
Lendi Institute of Engineering and Technology,-0.3111,8.7,1
Kruti Institute of Technology and Engineering - [KITE],0.0,8.7,1
Parul University,0.8232285714285714,8.7,7
Kamla Nehru Institute of Technology - [KNIT],0.9105,8.7,1
RV College of Architecture - [RVCA],0.90045,8.7,2
Drs. Kiran and Pallavi Patel Global University,0.6642,8.7,1
Shri Rawatpura Sarkar Institute of Technology,0.9588,8.7,1
Dhole Patil College of Engineering - [DPCOE],0.993,8.7,1
RCC Institute of Information Technology - [RCCIIT],0.9325,8.7,2
IES University,0.9782,8.7,2
UPL University of Sustainable Technology,0.9058,8.7,2
ITS Engineering College,0.9236,8.7,2
Govt Engineering College,0.4019,8.7,1
BP Poddar Institute of Management and Technology,0.9829,8.7,1
Arifa Institute of Technology - [AIT],0.9755,8.7,1
Manipal Academy of Higher Education - [MAHE],0.9759,8.7,1
Sant Longowal Institute of Engineering and Technology - [SLIET],0.9519500000000001,8.7,2
Guru Nanak Institute of Technology - [GNIT],0.9075300000000001,8.7,10
Gauhati University - [GU],0.891,8.7,1
Saranathan College of Engineering - [SCE],0.8934,8.7,1
Cambridge Institute of Technology - [CiTech],0.9350999999999999,8.673684210526316,19
Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],0.8410000000000001,8.666666666666666,3
Saveetha Engineering College - [SEC],0.977,8.666666666666666,3
Matrusri Engineering College,0.9432,8.666666666666666,3
Sikkim Manipal Institute of Technology - [SMIT],0.8048,8.66,5
Dayananda Sagar Academy of Technology and Management - [DSATM],0.8209171428571428,8.66,35
IIT Bombay - Indian Institute of Technology - [IITB],0.8953,8.657142857142857,7
N.B. Navale Sinhgad College of Engineering,0.9349000000000001,8.65,2
Galgotias College of Engineering and Technology - [GCET],0.88865,8.65,6
Rustamji Institute of Technology - [RJIT],0.9796,8.65,2
SJB Institute of Technology - [SJBIT],0.9532499999999999,8.65,2
Vidyavardhini's College of Engineering and Technology - [VCET],0.9414,8.65,2
JK Lakshmipat University - [JKLU],0.5825,8.65,2
PVKK Institute of Technology - [PVKKIT],0.8915500000000001,8.65,2
"Cochin University of Science and Technology, School of Engineering -[SOE] Thrikkakara",0.58485,8.65,4
Sree Vidyanikethan Engineering College - [SVEC],0.7807,8.65,2
Shri Ramswaroop Memorial College of Engineering and Management -  [SRMCM],0.91635,8.649999999999999,2
SDM College of Engineering and Technology - [SDMCET],0.894,8.649999999999999,2
